REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
54467;COMPANHIA DOS MÚSICOS LTDA;00.233.869/0001-86;14451;CASA DO MATO PRODUCOES MUSICAIS LTDA;07.801.800/0001-50;COLIGAÇÃO;04/03/2013
54471;MAFUÁ MÍDIA PRODUÇÕES LTDA;46.232.199/0001-84;26892;AURA EDIÇÕES MUSICAIS LTDA.;27.914.290/0001-35;COLIGAÇÃO;11/07/2019
54484;GABRIEL COLOMBO TAVARES DE LIMA ***********;32.173.425/0001-99;55381;BLACK UMBRELLA PRODUCOES ARTISTICAS LTDA;46.683.980/0001-75;COLIGAÇÃO;13/11/2023
54487;6TEAM LTDA;51.268.921/0001-70;50852;VARIOSCORRES LTDA;43.908.288/0001-00;COLIGAÇÃO;30/03/2022
54506;INSONIAHUB CREATIVE ESTUDIOS LTDA;49.463.378/0001-10;40336;ESTUDIO INSONIA CREATIVE;30.253.049/0001-17;COLIGAÇÃO;29/04/2024
54520;AION EVENTOS LTDA;39.148.618/0001-39;21896;GHETTO PRODUTORA LTDA;65.514.481/0001-07;COLIGAÇÃO;09/03/2023
54520;AION EVENTOS LTDA;39.148.618/0001-39;42656;ALEXI PRODUCOES ARTISTICAS LTDA;19.568.825/0001-35;COLIGAÇÃO;04/04/2019
54525;ALESSANDRO BARROS DA SILVA FILMES;01.670.473/0001-69;27525;C2 FILMES LTDA EPP;19.291.109/0001-53;COLIGAÇÃO;02/03/2022
54532;AVENTURINA PRODUÇÕES ARTÍSTICAS LTDA;51.459.672/0001-09;2559;ALTERNATIVA CONSULTORIA EM EDUCAÇÃO, CULTURA E COMUNICAÇÃO SOCIAL LTDA.;00.886.351/0001-41;COLIGAÇÃO;04/03/2013
54551;PRECAVER PRODUÇÃO, COMUNICAÇÃO E ENTRETENIMENTO;09.500.249/0001-30;52741;SINERGIA PROJETOS CULTURAIS LTDA;30.568.946/0001-10;COLIGAÇÃO;01/02/2023
54562;MACADAMIA FILMES LTDA;33.403.138/0001-90;32321;MACADAMIA CINEMA E COMUNICAÇÃO;04.928.010/0001-42;COLIGAÇÃO;06/05/2021
54568;CINEMA NO INTERIOR - INSTITUTO DE PESQUISA E PRODUCAO AUDIOVISUAL LTDA;50.429.624/0001-05;5798;ANTONIO M. G. DE CARVALHO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS;07.947.109/0001-80;COLIGAÇÃO;27/02/2019
54603;STAR CULTURAL & CONSULTORIA LTDA;22.426.682/0001-31;47811;AGENCIA 4K LTDA;07.660.630/0001-31;COLIGAÇÃO;13/07/2021
54607;DUTRA FILMES LTDA;35.993.167/0001-85;28954;DUNAS FILMES LTDA;21.638.749/0001-39;COLIGAÇÃO;02/04/2024
54630;REGATA ARTE CULTURA ENTRETENIMENTO LTDA;50.508.277/0001-06;56958;CRIA E REALIZA SOLUÇÕES EM EVENTOS LTDA;24.818.295/0001-76;COLIGAÇÃO;20/12/2023
54630;REGATA ARTE CULTURA ENTRETENIMENTO LTDA;50.508.277/0001-06;21512;REGATA PRODUÇÕES E EDIÇÕES MUSICAIS LTDA;06.041.780/0001-02;COLIGAÇÃO;07/06/2017
54648;CABONNET INTERNET LTDA;47.082.017/0001-07;13208;GIGA TV EIRELI;07.070.704/0001-80;COLIGAÇÃO;14/05/2019
54648;CABONNET INTERNET LTDA;47.082.017/0001-07;13330;TVC TUPA EIRELI;05.794.997/0001-12;COLIGAÇÃO;11/06/2019
54697;ALENTO CINEMATOGRAFICA LTDA;30.980.094/0001-73;34228;AMANDA CASTANHEIRA DE SOUZA PÓ;26.082.026/0001-10;COLIGAÇÃO;28/10/2021
54710;LUCIANE ESTEVES CORDEIRO;27.826.930/0001-55;14131;MULLER E ESTEVES LTDA;02.245.046/0001-04;COLIGAÇÃO;07/06/2018
54754;IHF FOTOGRAFIA LTDA;14.552.548/0001-59;52779;FERNANDO SCHLAEPFER FIGUEIRA PRODUCAO DE CONTEUDO;43.543.203/0001-37;COLIGAÇÃO;06/02/2023
54754;IHF FOTOGRAFIA LTDA;14.552.548/0001-59;43436;IHF PRODUCAO DE CONTEUDO LTDA;33.223.908/0001-13;COLIGAÇÃO;09/07/2019
54757;HANGRY ENTERTAINMENT MEDIA LTDA;41.505.235/0001-12;29373;CONTENTE ENTRETENIMENTO SERVIÇOS DE CONTEÚDO E EDIÇÃO DE SITE LTDA;10.649.783/0001-92;COLIGAÇÃO;30/04/2020
54762;ACADEMIA INTERNACIONAL DE CINEMA, TV, WEB LTDA;46.697.499/0001-39;1703;LUZ DE ARTE SERVIÇOS TECNICOS ARTISTICOS LTDA ME;35.792.449/0001-14;COLIGAÇÃO;30/08/2018
54767;MART PRODUTORA LTDA;21.783.558/0001-60;33183;ANDERSON RODRIGUES MARTINS - PRODUTORA;17.743.266/0001-27;COLIGAÇÃO;12/01/2022
54770;VERSATIL E-COMMERCE BRASIL LTDA;40.208.776/0001-16;20922;VERSÁTIL DIGITAL FILMES LTDA. - EPP;54.153.416/0001-79;COLIGAÇÃO;10/03/2017
54803;ATORES DE LAURA PRODUÇÕES CULTURAIS LTDA;05.347.985/0001-40;16612;IDARTE PRODUÇÕES ARTÍSTICAS LTDA;32.051.211/0001-40;COLIGAÇÃO;04/03/2013
54804;LUDICA PRODUCOES AUDIOVISUAIS LTDA;12.142.466/0001-00;56387;ODOYA ARTE E CULTURA PRODUCOES LTDA;46.704.567/0001-40;COLIGAÇÃO;14/11/2023
54827;RAPADURA FILMES LTDA.;51.150.923/0001-60;52017;TANGENTE FILMES LTDA.;33.718.132/0001-02;COLIGAÇÃO;06/09/2022
54837;A2M PRODUTORA DE VÍDEO LTDA;46.165.438/0001-20;25513;CAVERNA PROPAGANDA E PUBLICIDADE LTDA;10.315.917/0001-39;COLIGAÇÃO;04/12/2018
54837;A2M PRODUTORA DE VÍDEO LTDA;46.165.438/0001-20;2910;STUDIO CAVERNA PRODUÇÕES E INTERMEDIAÇÕES PUBLICITÁRIAS S/S LTDA;04.289.680/0001-66;COLIGAÇÃO;27/01/2010
54868;FELIPE MENDES CASTANHARI;11.747.247/0001-92;39360;REDE NOSTALGIA PRODUÇÃO, FINALIZAÇÃO DE FILMES E COMÉRCIO DE ARTIGOS DE VESTUÁRIO E BRINQUEDOS LTDA;18.963.632/0001-16;COLIGAÇÃO;02/04/2024
54871;TV MIDIA PUBLICIDADE COMERCIAL LTDA;05.000.314/0001-08;1343;TV OMEGA LTDA.;02.131.538/0001-60;COLIGAÇÃO;01/03/2023
54871;TV MIDIA PUBLICIDADE COMERCIAL LTDA;05.000.314/0001-08;16673;TELETV SERVIÇOS INTERATIVOS LTDA;07.926.156/0001-47;COLIGAÇÃO;08/01/2021
54903;FVG PRODUCOES MKT, CULTURA,CINEMA E EVENTOS LTDA;29.013.069/0001-31;54984;CENTRAL METODO PRODUÇÃO DE ARTE CULTURA CINEMA EVENTOS TEATRO E MARKETING LTDA.;04.469.272/0001-96;COLIGAÇÃO;18/09/2023
54903;FVG PRODUCOES MKT, CULTURA,CINEMA E EVENTOS LTDA;29.013.069/0001-31;54928;INNOVAX ARTE CULTURAL;15.495.285/0001-56;COLIGAÇÃO;14/09/2023
54903;FVG PRODUCOES MKT, CULTURA,CINEMA E EVENTOS LTDA;29.013.069/0001-31;56415;IBERICA CONTENT PRODUÇÕES CULTURAIS, AUDIOVISUAIS, TEATRAIS, MKT, COMUNICAÇÃO, PROMOÇÃO E EVENTOS LTDA;51.425.639/0001-50;COLIGAÇÃO;16/11/2023
54916;37.587.751 MARCELO AUGUSTO SILVA LOPES;37.587.751/0001-66;57519;ZODIACH ARTE, SOM E IMAGEM LTDA;53.794.548/0001-17;COLIGAÇÃO;23/02/2024
54928;INNOVAX ARTE CULTURAL;15.495.285/0001-56;54984;CENTRAL METODO PRODUÇÃO DE ARTE CULTURA CINEMA EVENTOS TEATRO E MARKETING LTDA.;04.469.272/0001-96;COLIGAÇÃO;18/09/2023
54928;INNOVAX ARTE CULTURAL;15.495.285/0001-56;54903;FVG PRODUCOES MKT, CULTURA,CINEMA E EVENTOS LTDA;29.013.069/0001-31;COLIGAÇÃO;13/09/2023
54928;INNOVAX ARTE CULTURAL;15.495.285/0001-56;56415;IBERICA CONTENT PRODUÇÕES CULTURAIS, AUDIOVISUAIS, TEATRAIS, MKT, COMUNICAÇÃO, PROMOÇÃO E EVENTOS LTDA;51.425.639/0001-50;COLIGAÇÃO;16/11/2023
54948;UNHIDE SCHOOL LTDA;28.341.784/0001-30;56328;UNHIDE STUDIOS LTDA;52.317.533/0001-03;COLIGAÇÃO;10/11/2023
54961;FLYBISS PRODUCOES LTDA;32.227.413/0001-08;5472;CENA DIGITAL LTDA;07.685.676/0001-05;COLIGAÇÃO;24/05/2019
54984;CENTRAL METODO PRODUÇÃO DE ARTE CULTURA CINEMA EVENTOS TEATRO E MARKETING LTDA.;04.469.272/0001-96;54928;INNOVAX ARTE CULTURAL;15.495.285/0001-56;COLIGAÇÃO;14/09/2023
54984;CENTRAL METODO PRODUÇÃO DE ARTE CULTURA CINEMA EVENTOS TEATRO E MARKETING LTDA.;04.469.272/0001-96;54903;FVG PRODUCOES MKT, CULTURA,CINEMA E EVENTOS LTDA;29.013.069/0001-31;COLIGAÇÃO;13/09/2023
54984;CENTRAL METODO PRODUÇÃO DE ARTE CULTURA CINEMA EVENTOS TEATRO E MARKETING LTDA.;04.469.272/0001-96;56415;IBERICA CONTENT PRODUÇÕES CULTURAIS, AUDIOVISUAIS, TEATRAIS, MKT, COMUNICAÇÃO, PROMOÇÃO E EVENTOS LTDA;51.425.639/0001-50;COLIGAÇÃO;16/11/2023
54999;LEVANTE 42 ESCOLA DE ROTEIRO LTDA.;40.884.251/0001-09;40894;TOCAIA FILMES EIRELI ME;24.814.281/0001-84;COLIGAÇÃO;16/05/2024
55049;PORTUGA RECORDS GRAVADORA MUSICAL LTDA;41.791.473/0001-31;48002;KZMP GRAVADORA MUSICAL LTDA;31.254.415/0001-15;COLIGAÇÃO;23/03/2021
55051;FE PRESTES JORNALISMO LTDA;21.923.814/0001-78;46150;FLUXA FILMES LTDA;34.878.582/0001-25;COLIGAÇÃO;21/03/2024
55066;I M A FERREIRA PRODUCOES;45.633.984/0001-86;797;ÍRIS CINEMATOGRÁFICA LTDA;73.315.293/0001-70;COLIGAÇÃO;01/06/2023
55067;JOSE VINICIUS REIS GOUVEIA;43.701.982/0001-51;42279;JOSE VINICIUS REIS GOUVEIA;30.993.898/0001-07;COLIGAÇÃO;18/02/2019
55075;COMOVER ARTE CULTURA E MEIO AMBIENTE;42.270.213/0001-83;50124;BÁRBARA JUSSARA DE AZEVEDO PINHEIRO ***********;14.170.270/0001-55;COLIGAÇÃO;13/12/2021
55093;LUIZ ALBERTO RODRIGUES PRODUCOES CINEMATOGRAFICAS.;45.291.426/0001-80;12580;FUNDAÇÃO CINEMA RS- FUNDACINE;03.300.207/0001-70;COLIGAÇÃO;29/09/2022
55093;LUIZ ALBERTO RODRIGUES PRODUCOES CINEMATOGRAFICAS.;45.291.426/0001-80;32730;PÉ NA ESTRADA FILMES LTDA;23.707.667/0001-24;COLIGAÇÃO;23/07/2021
55093;LUIZ ALBERTO RODRIGUES PRODUCOES CINEMATOGRAFICAS.;45.291.426/0001-80;941;PANDA FILMES LTDA;04.980.287/0001-14;COLIGAÇÃO;12/05/2023
55102;SEGUNDO ANDAR PRODUÇÕES LTDA;30.961.226/0001-10;29651;DUPLO FOTOGRAFIA E ROTEIRO LTDA;11.640.749/0001-10;COLIGAÇÃO;20/06/2022
55114;MURILO SAROLDI - CURADORIA E PRODUÇÃO EXECUTIVA DE CONTEÚDO LTDA;35.117.149/0001-30;13854;CINEBOSSA FILMES E PRODUÇÕES ARTÍSTICAS LTDA ME;08.459.024/0001-15;COLIGAÇÃO;30/08/2018
55122;SYLVIO B. R. P. JUNIOR LTDA;51.207.853/0001-30;26238;TOCHA PRODUCOES ARTISTICAS - EIRELI;19.291.237/0001-05;COLIGAÇÃO;10/08/2021
55129;A HORA VAGABUNDA FILMES LTDA;51.642.639/0001-01;1012;FILMEGRAPH LTDA;23.148.018/0001-30;COLIGAÇÃO;23/05/2022
55170;B. Z. CONTEUDO DIGITAL LTDA;34.309.352/0001-45;25554;BIZZU CONTEUDO PRODUTORA DE VIDEO LTDA - ME;10.564.922/0001-85;COLIGAÇÃO;21/06/2021
55177;RITMO PRODUÇÕES CINEMATOGRÁFICAS LTDA;48.786.543/0001-02;35837;RITMO VISUAL FILMES LTDA;23.756.846/0001-51;COLIGAÇÃO;06/01/2021
55190;CLAUDIA CASTRO PRODUCOES ARTISTICAS LTDA;35.401.390/0001-96;46748;GATO PRETO PRODUÇÕES LTDA.;04.146.133/0001-21;COLIGAÇÃO;25/09/2020
55200;CENTRO CULTURAL QUINTAL DAS ARTES LTDA;30.702.696/0001-69;24458;PIXEL PRODUÇÕES LTDA.- EPP;18.165.736/0001-85;COLIGAÇÃO;08/04/2021
55203;OUTRAS PALAVRAS AUDIOVISUAL LTDA;51.887.548/0001-36;18071;LUMINOSA PRODUCOES LTDA;07.002.978/0001-31;COLIGAÇÃO;03/12/2021
55204;IRON CHEST PRODUCTIONS LTDA;40.366.609/0001-01;13029;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;09.028.371/0001-56;COLIGAÇÃO;31/05/2023
55233;WUNSCH PRODUCOES ARTISTICAS E TECNOLOGIA LTDA;40.039.045/0001-94;46150;FLUXA FILMES LTDA;34.878.582/0001-25;COLIGAÇÃO;21/03/2024
55242;ATIVA FILMES E TREINAMENTO LTDA;14.169.016/0001-37;54312;PERI PRODUÇÕES LTDA;51.139.022/0001-78;COLIGAÇÃO;04/08/2023
55287;ON AIR DUE LTDA;47.578.428/0001-80;42541;ON AIR UNO NETWORK DIGITAL LTDA;31.055.375/0001-82;COLIGAÇÃO;21/03/2019
55326;MARCO ZERO PRODUÇÕES LTDA ME;13.961.927/0001-30;55344;INSTITUTO BR ARTE;26.757.702/0001-08;COLIGAÇÃO;02/10/2023
55344;INSTITUTO BR ARTE;26.757.702/0001-08;55326;MARCO ZERO PRODUÇÕES LTDA ME;13.961.927/0001-30;COLIGAÇÃO;02/10/2023
55371;ROKKO MALONE - CINEMA E COMUNICAÇÃO LTDA;50.358.961/0001-40;1389;MARTINELLI FILMS - CINEMA E COMUNICAÇÃO LTDA;03.767.502/0001-30;COLIGAÇÃO;12/04/2021
55374;TATIANE V. PERES FILMES E IMERSAO;52.020.531/0001-40;33896;M&P AUDIOVISUAL E ENTRETENIMENTO LTDA;97.528.688/0001-19;COLIGAÇÃO;25/07/2019
55381;BLACK UMBRELLA PRODUCOES ARTISTICAS LTDA;46.683.980/0001-75;54484;GABRIEL COLOMBO TAVARES DE LIMA ***********;32.173.425/0001-99;COLIGAÇÃO;21/08/2023
55396;MARIMBONDO VERDE FILMES LTDA;40.262.019/0001-20;30502;CARNEIRO VERDE FILMES;20.756.903/0001-04;COLIGAÇÃO;16/09/2022
55405;AMARENA PRODUCTIONS LTDA;49.956.521/0001-06;32822;FRAMBOESA FILMES E PRODUCOES LTDA;24.029.216/0001-48;COLIGAÇÃO;07/10/2020
55408;CARANA PRODUÇÕES LTDA;36.705.064/0001-35;24498;CARTOON STATION PRODUÇÕES ARTÍSTICAS LTDA-EPP;15.062.154/0001-85;COLIGAÇÃO;29/04/2024
55434;ENIALE CONSULTORIA E PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;47.940.686/0001-64;26998;CAFÉ MAESTRO ESTÚDIO MUSICAL LTDA. ME;10.613.589/0001-57;COLIGAÇÃO;30/05/2023
55435;SERRAO FILMES E BIRIMBOLOS LTDA;47.958.700/0001-57;47856;ABDUCAO FILMES LTDA;40.226.894/0001-57;COLIGAÇÃO;03/03/2021
55490;INSTITUTO CULTURAL HUMANITÁRIO;10.497.696/0001-67;40201;CONSEQUENCIA FILMES LTDA;05.279.636/0001-38;COLIGAÇÃO;05/04/2023
55490;INSTITUTO CULTURAL HUMANITÁRIO;10.497.696/0001-67;52611;ORIGEM FILMES LTDA;48.842.709/0001-60;COLIGAÇÃO;12/01/2023
55541;ZUMVI ARQUIVO FOTOGRÁFICO;01.232.218/0001-34;53346;30.542.448 LAZARO ROBERTO FERREIRA DOS SANTOS;30.542.448/0001-06;COLIGAÇÃO;10/05/2023
55545;SEVEN CONSULTORIA E PRODUCOES ARTISTICAS LTDA;32.301.238/0001-43;55547;SEVEN SEAS PRODUCOES LTDA;52.122.543/0001-85;COLIGAÇÃO;11/10/2023
55547;SEVEN SEAS PRODUCOES LTDA;52.122.543/0001-85;55545;SEVEN CONSULTORIA E PRODUCOES ARTISTICAS LTDA;32.301.238/0001-43;COLIGAÇÃO;11/10/2023
55562;CINEMATOGRÁFICA JOÃO MONLEVADE LTDA;51.901.083/0001-20;5252;CINEMATOGRÁFICA GUARAPARI LTDA;05.077.549/0001-06;COLIGAÇÃO;01/02/2024
55562;CINEMATOGRÁFICA JOÃO MONLEVADE LTDA;51.901.083/0001-20;31641;CINEMATOGRÁFICA CATAGUASES LTDA EPP;21.257.121/0001-93;COLIGAÇÃO;10/03/2021
55562;CINEMATOGRÁFICA JOÃO MONLEVADE LTDA;51.901.083/0001-20;46893;CINEMATOGRAFICA CINEMA UBA LTDA;35.486.652/0001-62;COLIGAÇÃO;06/10/2020
55664;BIÔNICA AUDIOVISUAL LTDA;43.366.577/0001-24;55911;PREM PRODUCOES CINEMATOGRAFICAS LTDA;24.078.243/0001-00;COLIGAÇÃO;23/10/2023
55664;BIÔNICA AUDIOVISUAL LTDA;43.366.577/0001-24;21028;BIÔNICA CINEMA E TV LTDA.;07.570.789/0001-65;COLIGAÇÃO;18/07/2022
55671;GUILHERME ROCHA VALENTINI;33.206.435/0001-46;11999;MOOVIE CONTEÚDO E ENTRETENIMENTO LTDA;08.584.887/0001-14;COLIGAÇÃO;04/02/2020
55676;GABRIEL G LOPES LTDA;51.137.079/0001-38;44159;BRITO E LOPES PRODUCAO CINEMATOGRAFICA LTDA;34.478.498/0001-14;COLIGAÇÃO;27/09/2019
55678;O DELIRIO PRODUCOES CINEMATOGRAFICAS LTDA;49.750.641/0001-52;45062;ÁSPERA PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFCAS LTDA;28.872.690/0001-98;COLIGAÇÃO;10/02/2020
55678;O DELIRIO PRODUCOES CINEMATOGRAFICAS LTDA;49.750.641/0001-52;32023;PONTE PRODUTORAS ASSOCIADAS LTDA;22.543.352/0001-26;COLIGAÇÃO;15/06/2022
55679;DPC CONTEUDO LTDA;51.807.763/0001-80;23931;STUDIO PRODUTORA DE VIDEO LTDA;17.716.634/0001-48;COLIGAÇÃO;16/12/2021
55728;LUIS D'MOHR STUDIOS LTDA;05.326.225/0001-56;30312;DANIEL LUÍS MOHR - ME;03.821.646/0001-28;COLIGAÇÃO;11/08/2020
55736;SEMENTE SERVIÇOS DE EDUCAÇÃO AUDIOVISUAL LTDA;38.163.258/0001-81;15358;PIGMENTO CINEMATOGRAFICO LTDA;10.679.333/0001-42;COLIGAÇÃO;26/11/2019
55749;WORK IN PROGRESS CONTEUDO E REPRESENTACAO COMERCIAL LTDA;12.646.098/0001-38;11999;MOOVIE CONTEÚDO E ENTRETENIMENTO LTDA;08.584.887/0001-14;COLIGAÇÃO;04/02/2020
55768;REALIZAMOS ARTES LTDA;48.598.192/0001-06;31097;CINEMEIROS ARTES;01.917.010/0001-59;COLIGAÇÃO;06/11/2020
55795;AGILITA FILMES LTDA;51.060.898/0001-24;21614;BLACK PRODUTORA LTDA;01.354.178/0001-01;COLIGAÇÃO;04/07/2023
55795;AGILITA FILMES LTDA;51.060.898/0001-24;17376;UAU CINE TV LTDA;09.629.168/0001-35;COLIGAÇÃO;04/03/2013
55795;AGILITA FILMES LTDA;51.060.898/0001-24;42877;PAULO A. CARDOSO;32.909.201/0001-00;COLIGAÇÃO;06/05/2019
55797;FUNDAÇÃO ITAÚ PARA EDUCAÇÃO E CULTURA;59.573.030/0001-30;51912;INSTITUTO UNIBANCO;52.041.183/0001-97;COLIGAÇÃO;23/08/2022
55797;FUNDAÇÃO ITAÚ PARA EDUCAÇÃO E CULTURA;59.573.030/0001-30;4933;INSTITUTO ITAÚ CULTURAL;57.119.000/0001-22;COLIGAÇÃO;04/12/2023
55797;FUNDAÇÃO ITAÚ PARA EDUCAÇÃO E CULTURA;59.573.030/0001-30;1944;CINEMA ARTEPLEX LTDA.;04.969.463/0001-17;COLIGAÇÃO;28/01/2021
55802;CROPPING PRODUÇÕES CINEMATOGRAFICAS LTDA;47.341.234/0001-66;34234;LUCIANO AZEVEDO DE SOUZA;11.056.205/0001-05;COLIGAÇÃO;05/05/2023
55807;CARNAÚBA FILMES LTDA;34.391.578/0001-38;47989;CIRCUS FILMES E PRODUÇÕES GRÁFICAS LTDA;08.300.679/0001-46;COLIGAÇÃO;22/03/2021
55809;ZALC PRODUCOES ARTISTICAS LTDA;10.329.659/0001-40;49115;SERCAR SERVIÇOS EMPRESARIAIS - LTDA;49.287.758/0001-41;COLIGAÇÃO;27/07/2021
55810;LVM SHOWS E PRODUCOES MUSICAIS LTDA;30.886.049/0001-54;49489;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;COLIGAÇÃO;10/09/2021
55829;AMORA COMUNICAÇÃO PRODUÇÃO E EVENTOS LTDA;49.513.119/0001-57;19099;DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA;07.350.086/0001-21;COLIGAÇÃO;21/03/2023
55829;AMORA COMUNICAÇÃO PRODUÇÃO E EVENTOS LTDA;49.513.119/0001-57;56112;GOIAS DE FATO MULTIMIDIA LTDA;49.571.879/0001-10;COLIGAÇÃO;31/10/2023
55829;AMORA COMUNICAÇÃO PRODUÇÃO E EVENTOS LTDA;49.513.119/0001-57;18301;KRAÔ PRODUTORA E EVENTOS LTDA;10.773.590/0001-49;COLIGAÇÃO;26/07/2023
55829;AMORA COMUNICAÇÃO PRODUÇÃO E EVENTOS LTDA;49.513.119/0001-57;4653;SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME;02.386.149/0001-86;COLIGAÇÃO;11/06/2024
55868;AGENCIA PORÃ LTDA;31.823.255/0001-88;21870;LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME;15.263.576/0001-19;COLIGAÇÃO;18/08/2022
55902;LOBATO BRASIL LTDA;29.165.478/0001-53;38309;LOBATO & BRASIL LTDA - ME;16.509.819/0001-19;COLIGAÇÃO;09/03/2023
55907;INSTITUTO DE CULTURA, EDUCACAO, PESQUISA E AUDIOVISUAL ARANDU DA AMAZONIA-IAA;50.819.723/0001-95;31243;KRIOCA CONSULTORIA DE NEGOCIOS E COMUNICACAO LTDA.;20.463.541/0001-63;COLIGAÇÃO;25/05/2022
55911;PREM PRODUCOES CINEMATOGRAFICAS LTDA;24.078.243/0001-00;55664;BIÔNICA AUDIOVISUAL LTDA;43.366.577/0001-24;COLIGAÇÃO;17/10/2023
55911;PREM PRODUCOES CINEMATOGRAFICAS LTDA;24.078.243/0001-00;21028;BIÔNICA CINEMA E TV LTDA.;07.570.789/0001-65;COLIGAÇÃO;18/07/2022
55913;DON QUIXOTE PRODUCOES LTDA;21.635.419/0001-90;52682;MOINHOS DE VENTO FILMES E LETRAS LTDA;27.853.123/0001-21;COLIGAÇÃO;24/01/2023
55934;XAM DESIGN PRODUCAO CINEMATOGRAFICA LTDA;52.275.875/0001-08;31484;DANILO STAEL CONCEIÇÃO DOS SANTOS - ME;23.624.812/0001-03;COLIGAÇÃO;09/02/2021
55961;NMD PRODUTORA MULTICULTURAL LTDA;40.124.905/0001-98;32538;PRODUTORA SARRAFO VISUAL S/S LTDA.;23.783.446/0001-35;COLIGAÇÃO;06/05/2021
55977;VESÚVIO PRODUÇÕES ARTÍSTICAS LTDA;06.269.048/0001-86;39380;MCABRAL PRODUÇÕES ARTÍSTICAS LTDA.;08.281.771/0001-06;COLIGAÇÃO;18/12/2023
56001;PORTAL DA ILHA COMUNICAÇÃO DIGITAL LTDA;72.169.618/0001-90;45652;URBAN TV BRASIL COMUNICAÇÕES LTDA.;36.332.833/0001-05;COLIGAÇÃO;03/01/2022
56021;MZ CONSULT SERVIÇOS E NEGÓCIOS LTDA;03.495.659/0001-54;29854;PIXIT SOLUCOES EM VIDEO LTDA. - ME;11.300.943/0001-56;COLIGAÇÃO;17/07/2020
56040;INSPIRA PRODUCOES LTDA.;52.280.612/0001-89;46058;INSPIRA COMUNICAÇÃO INTEGRADA LTDA;37.459.323/0001-58;COLIGAÇÃO;09/07/2020
56112;GOIAS DE FATO MULTIMIDIA LTDA;49.571.879/0001-10;19099;DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA;07.350.086/0001-21;COLIGAÇÃO;21/03/2023
56112;GOIAS DE FATO MULTIMIDIA LTDA;49.571.879/0001-10;18301;KRAÔ PRODUTORA E EVENTOS LTDA;10.773.590/0001-49;COLIGAÇÃO;26/07/2023
56112;GOIAS DE FATO MULTIMIDIA LTDA;49.571.879/0001-10;55829;AMORA COMUNICAÇÃO PRODUÇÃO E EVENTOS LTDA;49.513.119/0001-57;COLIGAÇÃO;23/10/2023
56112;GOIAS DE FATO MULTIMIDIA LTDA;49.571.879/0001-10;4653;SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME;02.386.149/0001-86;COLIGAÇÃO;11/06/2024
56113;MUNDOA ENTRETENIMENTO LTDA;45.231.158/0001-00;19615;ROSZA FILMES PRODUÇÕES LTDA ME;13.650.474/0001-20;COLIGAÇÃO;16/02/2022
56124;52.527.962 ORLANDO BARBOSA RODRIGUES;52.527.962/0001-05;57226;ANEE - ASSOCIAÇÃO NACIONAL DE ESCRITORES E EDITORAS;53.014.976/0001-80;COLIGAÇÃO;19/01/2024
56190;JEMASTE FILMES LTDA;41.916.471/0001-21;36909;DESPPH - DESPERTANDO O POTENCIAL PSIQUICO HUMANO LTDA;13.699.931/0001-71;COLIGAÇÃO;23/08/2023
56190;JEMASTE FILMES LTDA;41.916.471/0001-21;38659;JEMASTE FILMES LTDA;29.233.522/0001-15;COLIGAÇÃO;24/08/2023
56240;JJCINEMAS LTDA;52.301.384/0001-86;38939;J J DE M SILVA;29.749.129/0001-89;COLIGAÇÃO;28/06/2022
56274;INSTITUTO VENTO;51.107.827/0001-30;14690;CARLOS ANDRÉ COSTANTIN;03.334.227/0001-61;COLIGAÇÃO;11/06/2020
56280;STUDIO AKRA LTDA;52.017.707/0001-04;33991;PRODUTORA PORTATIL LTDA. - ME;25.302.358/0001-08;COLIGAÇÃO;09/09/2022
56290;REM AUDIO E TECNOLOGIA LTDA;19.343.779/0001-76;56291;CALIBRE AUDIOVISUAL E SERVIÇOS LTDA;43.712.627/0001-88;COLIGAÇÃO;09/11/2023
56291;CALIBRE AUDIOVISUAL E SERVIÇOS LTDA;43.712.627/0001-88;56290;REM AUDIO E TECNOLOGIA LTDA;19.343.779/0001-76;COLIGAÇÃO;09/11/2023
56325;JANELA DO IMAGINÁRIO PRODUÇÕES LTDA;41.094.122/0001-71;24869;INSTITUTO TERRA BRASILIS;04.495.592/0001-10;COLIGAÇÃO;10/10/2018
56328;UNHIDE STUDIOS LTDA;52.317.533/0001-03;32040;LIGHT FARM BR PUBLICIDADE LTDA;19.500.604/0001-25;COLIGAÇÃO;22/01/2024
56328;UNHIDE STUDIOS LTDA;52.317.533/0001-03;54948;UNHIDE SCHOOL LTDA;28.341.784/0001-30;COLIGAÇÃO;15/09/2023
