REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
138;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44.154.342/0001-31;11792;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;08.331.280/0001-22;COLIGAÇÃO;17/08/2020
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;50685;ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA;45.202.167/0001-73;COLIGAÇÃO;08/03/2022
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;51854;NO.HAY.BANDA CRIAÇÃO E PRODUÇÃO DE CONTEÚDO AUDIOVISUAL LTDA.;47.385.313/0001-79;COLIGAÇÃO;19/05/2023
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;13017;EMVIDEO EVENTOS AUDIOVISUAIS LTDA;07.071.805/0001-75;COLIGAÇÃO;18/04/2024
154;CÁPSULA CINEMATOGRÁFICA LTDA;04.705.264/0001-00;22682;ICE FILMES LTDA - ME;15.683.184/0001-09;COLIGAÇÃO;05/01/2018
156;VPI - VÍDEO PRODUÇÕES INDEPENDENTES LTDA;49.084.916/0001-66;38506;SOLANO RIBEIRO VÍDEO PRODUÇÕES INDEPENDENTES - ME;15.030.800/0001-22;COLIGAÇÃO;21/03/2023
163;RIO VERMELHO FILMES LTDA;01.233.122/0001-90;1061;UNS E OUTROS PRODUÇÕES E FILMES EIRELI;04.595.226/0001-33;COLIGAÇÃO;12/06/2024
163;RIO VERMELHO FILMES LTDA;01.233.122/0001-90;14649;MAIOMIDIA COMUNICACAO LTDA;06.296.389/0001-40;COLIGAÇÃO;11/07/2019
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;24589;QUANTA POST FINALIZAÇÃO DE PRODUÇÕES CINEMATOGRÁFICAS LTDA;14.690.827/0001-89;COLIGAÇÃO;12/12/2022
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;52513;ESTUDIOS RIOS PRODUÇÕES SPE S.A.;46.334.899/0001-80;COLIGAÇÃO;16/02/2024
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;25973;DGT SERVIÇOS DE MONITORAMENTO LTDA;15.691.691/0001-94;COLIGAÇÃO;26/06/2023
170;PUBLYTAPE COMUNICAÇÃO LTDA;30.013.056/0001-41;423;PUBLYTIME COMUNICAÇÃO LTDA;27.052.323/0001-85;COLIGAÇÃO;02/04/2020
173;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;03.599.148/0001-82;11868;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;08.346.733/0001-94;COLIGAÇÃO;10/05/2021
173;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;03.599.148/0001-82;2336;RESERVA CULTURAL DE CINEMA LTDA.;05.924.151/0001-50;COLIGAÇÃO;07/06/2023
175;CINEBRAS CINERAMA BRASILIS CINEMATOGRAFICA LTDA;03.081.598/0001-89;22622;BUTTERFLIES IN THE STOMACH ARTES AUDIOVISUAIS LTDA;16.923.570/0001-93;COLIGAÇÃO;28/05/2024
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;3226;CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA;05.097.785/0001-86;COLIGAÇÃO;02/04/2024
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;4267;CBSP - CASABLANCA SERVICE PROVIDER LTDA;04.995.093/0001-92;COLIGAÇÃO;02/09/2019
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;1635;FIJI PRODUÇÕES AUDIOVISUAIS LTDA;05.638.479/0001-00;COLIGAÇÃO;08/04/2019
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;6062;D F F DIANA FOTO FILME E TELECOMUNICACOES LTDA;52.559.671/0001-90;COLIGAÇÃO;20/04/2018
186;MORENA FILMES EIRELI - ME;42.473.256/0001-66;56762;MARIZA LEÃO FILMES PRODUÇÃO AUDIOVISUAL;36.518.916/0001-85;COLIGAÇÃO;06/12/2023
193;SONY PICTURES RELEASING OF BRASIL INC.;33.040.767/0001-01;84;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;COLIGAÇÃO;16/11/2021
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;12660;LGK MUSIC PRODUÇOES ARTISTICAS LTDA;07.675.338/0001-92;COLIGAÇÃO;09/03/2023
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;17/01/2019
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
